temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
21.3,10.3,5.3,49.45,0.0,0.0,0.0,0.0,0.33,23.3,7.685714285714285,281.0,1028.8,27.9,9.9,6.008212615489906,0.0,0.0,0.0
23.5,12.8,6.4,47.4,0.0,0.0,0.0,0.0,0.31,20.8,7.657142857142857,291.0,1028.0,27.9,9.9,6.008440743697959,0.0,0.0,0.0
25.2,15.9,6.2,43.76,0.0,0.0,0.0,0.0,0.3,18.3,7.628571428571428,257.0,1027.0,27.9,9.9,6.008668871906012,0.0,0.0,0.0
26.1,17.9,5.9,41.64,0.0,0.0,0.0,0.0,0.28,19.125,7.6,271.0,1026.8,27.9,9.9,6.0088970001140645,0.0,0.0,0.0
25.2,15.3,6.7,44.77,0.0,0.0,0.0,0.0,0.26,19.950000000000003,10.1,244.0,1026.6,27.9,9.9,6.009125128322117,0.0,0.0,0.0
24.2,13.6,6.9,47.22,0.0,0.0,0.0,0.0,0.25,20.775,10.7,246.0,1026.5,19.2,9.9,6.00935325653017,0.0,0.0,0.0
24.0,14.5,6.2,45.98,0.0,0.0,0.0,0.0,0.23,21.6,8.8,240.0,1026.6,19.2,9.9,6.009581384738223,0.0,0.0,0.0
23.1,12.6,6.2,47.78,0.0,0.0,0.0,0.0,0.21,21.7,10.0,259.0,1027.1,14.1,9.9,6.009809512946275,0.0,0.0,0.0
21.5,9.9,5.2,48.69,0.0,0.0,0.0,0.0,0.2,18.8,11.4,263.0,1026.8,14.1,9.9,6.010037641154328,0.0,0.0,0.0
20.1,8.5,5.1,51.53,0.0,0.0,0.0,0.0,0.18,25.2,10.7,246.0,1026.8,8.0,9.9,6.010265769362381,0.0,0.0,0.0
19.3,9.5,3.7,49.92,0.0,0.0,0.0,0.0,0.16,23.0,8.0,261.0,1026.8,14.1,9.9,6.010493897570434,0.0,0.0,0.0
19.3,8.6,2.9,48.21,0.0,0.0,0.0,0.0,0.15,20.8,9.2,248.0,1026.9,14.1,9.9,6.010722025778487,0.0,0.0,0.0
18.8,7.6,2.2,47.56,0.0,0.0,0.0,0.0,0.13,20.9,9.7,254.0,1027.1,10.5,9.9,6.01095015398654,0.0,0.0,0.0
18.2,8.2,2.6,49.87,0.0,0.0,0.0,0.0,0.11,23.0,7.8,250.0,1027.0,10.5,9.9,6.011178282194593,0.0,0.0,0.0
18.7,9.6,1.9,47.36,0.0,0.0,0.0,0.0,0.1,16.1,6.8,236.0,1027.0,10.5,9.9,6.011406410402646,0.0,0.0,0.0
17.0,6.4,2.2,51.39,0.0,0.0,0.0,0.0,0.08,16.188000000000002,8.4,251.0,1027.3,10.5,9.9,6.011634538610699,0.0,0.0,0.0
17.0,5.3,1.6,49.96,0.0,0.0,0.0,0.0,0.07,16.276,9.9,260.0,1027.1,22.2,9.9,6.011862666818752,0.0,0.0,0.0
16.5,7.5,1.3,50.5,0.0,0.0,0.0,0.0,0.05,16.364,6.2,263.0,1026.7,34.2,9.9,6.012090795026805,0.0,0.0,0.0
16.8,16.8,0.4,47.8,0.0,0.0,0.0,0.0,0.03,16.452,2.1,340.0,1026.6,27.9,9.9,6.012318923234858,0.0,0.0,0.0
16.5,9.4,0.1,47.96,0.0,0.0,0.0,0.0,0.02,16.540000000000003,4.6,271.0,1026.8,15.6,9.9,6.012547051442911,0.0,0.0,0.0
16.8,16.8,-0.3,46.41,0.0,0.0,0.0,0.0,0.0,16.628,2.9,304.0,1027.4,10.5,9.9,6.012775179650964,0.0,0.0,0.0
18.4,9.9,0.1,44.04,0.0,0.0,0.0,0.05,0.05,16.716,6.1,267.0,1027.4,10.5,9.9,6.013003307859017,0.0,0.0,0.0
19.9,14.3,0.1,41.28,0.0,0.0,0.0,0.05,0.1,16.804000000000002,3.9,286.0,1027.1,27.9,9.9,6.01323143606707,0.0,0.0,0.0
22.4,17.4,0.9,38.68,0.0,0.0,0.0,0.05,0.15,16.892,3.6,281.0,1026.5,34.2,9.9,6.013459564275123,0.0,0.0,0.0
25.3,25.3,1.6,35.21,0.0,0.0,0.0,0.05,0.2,16.98,1.3,288.0,1025.4,34.2,9.9,6.013687692483176,0.0,0.0,0.0
27.2,27.2,2.1,33.29,0.0,0.0,0.0,0.05,0.25,17.068,0.0,0.0,1024.4,34.2,9.9,6.013915820691229,0.0,0.0,0.0
28.9,24.6,0.1,28.43,0.0,0.0,0.0,0.05,0.3,17.156000000000002,3.9,170.0,1023.2,34.2,9.9,6.014143948899282,0.0,0.0,0.0
29.0,29.0,2.7,31.82,0.0,0.0,0.0,0.05,0.34,17.244,2.3,62.0,1022.1,34.2,9.9,6.014372077107335,0.0,0.0,0.0
29.2,29.2,1.8,30.29,0.0,0.0,0.0,0.05,0.39,17.332,1.6,48.0,1021.6,34.2,9.9,6.014600205315388,0.0,0.0,0.0
28.1,21.1,4.9,36.47,0.0,0.0,0.0,0.05,0.44,17.42,6.7,178.0,1022.7,34.2,9.9,6.0148283335234405,0.0,0.0,0.0
27.0,27.0,6.8,41.74,0.0,0.0,0.0,0.05,0.49,17.508000000000003,2.7,73.0,1021.6,34.2,9.9,6.015056461731493,0.0,0.0,0.0
27.2,21.4,5.0,38.17,0.0,0.0,0.0,0.05,0.54,17.596,5.0,164.0,1021.1,35.9,9.9,6.015284589939546,0.0,0.0,0.0
28.0,28.0,4.3,35.68,0.0,0.0,0.0,0.05,0.59,17.684,1.6,53.0,1020.0,38.4,9.9,6.015512718147599,0.0,0.0,0.0
29.0,22.9,11.1,46.62,0.0,0.0,0.0,0.05,0.64,17.772000000000002,5.8,120.0,1020.1,38.4,9.9,6.015740846355652,0.0,0.0,0.0
27.8,21.8,12.3,51.58,0.0,0.0,0.0,0.05,0.69,17.86,5.4,53.0,1018.8,38.4,9.9,6.015968974563704,0.0,0.0,0.0
28.5,21.5,11.8,49.21,0.0,0.0,0.0,0.05,0.74,17.948,6.7,23.0,1017.0,100.0,9.9,6.016197102771757,0.0,0.0,0.0
28.6,21.7,10.5,46.24,0.0,0.0,0.0,0.05,0.79,18.036,6.5,30.0,1016.0,100.0,9.9,6.01642523097981,0.0,0.0,0.0
28.0,19.9,7.5,41.36,0.0,0.0,0.0,0.05,0.84,18.124,8.1,38.0,1013.8,100.0,9.9,6.016653359187863,0.0,0.0,0.0
28.1,18.8,10.6,47.26,0.0,0.0,0.0,0.05,0.89,18.212,10.2,33.0,1012.2,100.0,9.9,6.016881487395916,0.0,0.0,0.0
28.1,18.9,6.7,39.72,0.0,0.0,0.0,0.05,0.94,18.3,10.0,10.0,1010.2,100.0,9.9,6.017109615603969,0.0,0.0,0.0
28.1,17.7,7.2,46.08125,0.0,0.0,0.0,0.05,0.98,20.7,12.5,18.0,1007.1,100.0,9.9,6.017337743812022,0.0,0.0,0.0
27.3,15.4,8.7,52.4425,0.03,0.0,0.0,0.05,1.03,25.9,15.5,13.0,1004.7,100.0,7.2,6.017565872020075,0.0,0.0,0.0
24.5,13.7,18.6,58.80375,0.01,0.0,0.0,0.05,1.08,24.3,11.4,360.0,1002.9,100.0,1.0,6.017794000228128,0.0,0.0,0.0
24.0,11.5,20.1,65.16499999999999,0.05,0.0,0.0,0.05,1.13,29.4,14.6,360.0,1000.9,74.6,0.9,6.018022128436181,0.0,0.0,0.0
24.1,11.7,20.2,71.52625,0.06,0.0,0.0,0.05,1.18,32.2,14.2,358.0,999.2,72.4,0.5,6.018250256644234,0.0,0.0,0.0
22.0,9.05,19.3,77.8875,0.09,0.0,0.0,0.0,1.06,33.2,19.3,12.0,998.2,65.2,0.1,6.018478384852287,0.0,0.0,0.0
22.0,6.4,20.2,84.24875,0.11,0.0,0.0,0.27,1.32,36.1,21.6,350.0,996.2,82.8,0.0,6.01870651306034,0.0,0.0,0.0
23.3,7.35,20.9,90.61,0.04,0.0,0.0,0.27,1.59,36.5,21.4,340.0,995.6,62.2,0.0,6.018934641268393,0.0,0.0,0.0
23.4,8.3,21.5,92.02,0.09,0.0,0.0,0.27,1.86,43.4,21.5,348.0,992.7,45.5,0.0,6.019162769476446,0.0,0.0,0.0
24.0,6.9,21.1,88.47,0.11,0.0,0.0,0.27,2.13,41.8,29.1,330.0,991.8,57.4,0.0,6.019390897684499,0.0,0.0,0.0
23.5,11.1,20.5,88.04,0.05,0.0,0.0,0.27,2.4,28.4,14.0,317.0,990.8,62.2,0.1,6.019619025892552,0.0,0.0,0.0
23.3,10.15,20.2,87.73,0.04,0.0,0.0,0.27,2.67,29.4,16.3,311.0,991.2,89.8,0.4,6.019847154100605,0.0,0.0,0.0
24.4,9.2,17.7,75.3,0.02,0.0,0.0,0.27,2.94,38.5,22.5,314.0,991.6,100.0,3.7,6.020075282308658,0.0,0.0,0.0
25.3,10.8,16.7,69.33,0.01,0.0,0.0,0.27,3.2,39.1,21.1,304.0,992.7,100.0,6.4,6.020303410516711,0.0,0.0,0.0
25.9,10.8,14.8,62.29,0.0,0.0,0.0,0.27,3.47,41.8,24.2,308.0,993.6,100.0,7.7,6.020531538724764,0.0,0.0,0.0
25.9,10.75,13.5,58.99,0.0,0.0,0.0,0.27,3.74,36.3,15.6,302.0,995.1,99.2,8.5,6.0207596669328165,0.0,0.0,0.0
24.2,10.7,10.7,56.0,0.0,0.0,0.0,0.27,4.01,35.3,17.2,295.0,996.5,68.4,9.9,6.0209877951408695,0.0,0.0,0.0
23.3,9.2,8.7,53.11,0.0,0.0,0.0,0.27,4.28,37.3,18.1,288.0,998.2,90.4,9.9,6.021215923348922,0.0,0.0,0.0
