Time Stamp,Time Zone,Name,PTID,Load
2020-10-20 08:00:00,EDT,CENTRL,61754,1789.5613
2020-10-20 08:00:00,EDT,WEST,61752,1645.2502
2020-10-20 08:00:00,EDT,NORTH,61755,551.8551
2020-10-20 08:00:00,EDT,N.Y.C.,61761,5011.3555
2020-10-20 08:00:00,EDT,MILLWD,61759,335.0289
2020-10-20 08:00:00,EDT,MHK VL,61756,884.2925
2020-10-20 08:00:00,EDT,LONGIL,61762,2020.1938
2020-10-20 08:00:00,EDT,HUD VL,61758,952.4598
2020-10-20 08:00:00,EDT,GENESE,61753,1099.4285
2020-10-20 08:00:00,EDT,DUNWOD,61760,568.6445
2020-10-20 08:00:00,EDT,CAPITL,61757,1389.2659
2020-10-20 09:00:00,EDT,GENESE,61753,1120.1305
2020-10-20 09:00:00,EDT,CENTRL,61754,1843.7523
2020-10-20 09:00:00,EDT,CAPITL,61757,1413.1521
2020-10-20 09:00:00,EDT,DUNWOD,61760,601.5402
2020-10-20 09:00:00,EDT,HUD VL,61758,967.601
2020-10-20 09:00:00,EDT,LONGIL,61762,2116.2249
2020-10-20 09:00:00,EDT,MHK VL,61756,905.4695
2020-10-20 09:00:00,EDT,MILLWD,61759,328.4499
2020-10-20 09:00:00,EDT,N.Y.C.,61761,5319.2397
2020-10-20 09:00:00,EDT,NORTH,61755,548.3281
2020-10-20 09:00:00,EDT,WEST,61752,1665.4088
2020-10-20 10:00:00,EDT,MHK VL,61756,921.171
2020-10-20 10:00:00,EDT,CAPITL,61757,1450.5631
2020-10-20 10:00:00,EDT,CENTRL,61754,1806.7633
2020-10-20 10:00:00,EDT,DUNWOD,61760,611.1547
2020-10-20 10:00:00,EDT,GENESE,61753,1148.0984
2020-10-20 10:00:00,EDT,WEST,61752,1676.7695
2020-10-20 10:00:00,EDT,NORTH,61755,561.9099
2020-10-20 10:00:00,EDT,N.Y.C.,61761,5466.8794
2020-10-20 10:00:00,EDT,HUD VL,61758,988.842
2020-10-20 10:00:00,EDT,LONGIL,61762,2143.629
2020-10-20 10:00:00,EDT,MILLWD,61759,348.93
2020-10-20 11:00:00,EDT,CENTRL,61754,1851.581
2020-10-20 11:00:00,EDT,CAPITL,61757,1434.1294
2020-10-20 11:00:00,EDT,DUNWOD,61760,619.5935
2020-10-20 11:00:00,EDT,GENESE,61753,1154.8713
2020-10-20 11:00:00,EDT,HUD VL,61758,979.0864
2020-10-20 11:00:00,EDT,LONGIL,61762,2161.0957
2020-10-20 11:00:00,EDT,MHK VL,61756,927.4231
2020-10-20 11:00:00,EDT,MILLWD,61759,343.7871
2020-10-20 11:00:00,EDT,N.Y.C.,61761,5522.146
2020-10-20 11:00:00,EDT,NORTH,61755,555.4965
2020-10-20 11:00:00,EDT,WEST,61752,1711.1356
2020-10-20 12:00:00,EDT,GENESE,61753,1160.9265
2020-10-20 12:00:00,EDT,DUNWOD,61760,631.757
2020-10-20 12:00:00,EDT,CENTRL,61754,1863.6627
2020-10-20 12:00:00,EDT,HUD VL,61758,999.7173
2020-10-20 12:00:00,EDT,LONGIL,61762,2181.9878
2020-10-20 12:00:00,EDT,MHK VL,61756,912.3613
2020-10-20 12:00:00,EDT,MILLWD,61759,336.4501
2020-10-20 12:00:00,EDT,N.Y.C.,61761,5611.5513
2020-10-20 12:00:00,EDT,NORTH,61755,559.3842
2020-10-20 12:00:00,EDT,CAPITL,61757,1408.1781
2020-10-20 12:00:00,EDT,WEST,61752,1721.4126
2020-10-20 13:00:00,EDT,HUD VL,61758,945.4647
2020-10-20 13:00:00,EDT,CAPITL,61757,1378.6725
2020-10-20 13:00:00,EDT,WEST,61752,1665.706
2020-10-20 13:00:00,EDT,NORTH,61755,560.7147
2020-10-20 13:00:00,EDT,N.Y.C.,61761,5648.7134
2020-10-20 13:00:00,EDT,MILLWD,61759,311.668
2020-10-20 13:00:00,EDT,DUNWOD,61760,634.1069
2020-10-20 13:00:00,EDT,LONGIL,61762,2181.0042
2020-10-20 13:00:00,EDT,GENESE,61753,1157.6509
2020-10-20 13:00:00,EDT,MHK VL,61756,878.2828
2020-10-20 13:00:00,EDT,CENTRL,61754,1803.0428
2020-10-20 14:00:00,EDT,CENTRL,61754,1797.0219
2020-10-20 14:00:00,EDT,CAPITL,61757,1389.7396
2020-10-20 14:00:00,EDT,DUNWOD,61760,639.4134
2020-10-20 14:00:00,EDT,GENESE,61753,1144.2666
2020-10-20 14:00:00,EDT,HUD VL,61758,954.6201
2020-10-20 14:00:00,EDT,LONGIL,61762,2189.6504
2020-10-20 14:00:00,EDT,MHK VL,61756,888.5432
2020-10-20 14:00:00,EDT,MILLWD,61759,333.8694
2020-10-20 14:00:00,EDT,N.Y.C.,61761,5618.0073
2020-10-20 14:00:00,EDT,NORTH,61755,549.2638
2020-10-20 14:00:00,EDT,WEST,61752,1673.7266
2020-10-20 15:00:00,EDT,WEST,61752,1634.8799
2020-10-20 15:00:00,EDT,NORTH,61755,554.8501
2020-10-20 15:00:00,EDT,N.Y.C.,61761,5681.4697
